Chi nhánh,Mã nh?p hàng,Th?i gian,Th?i gian t?o,Ngày c?p nh?t,Mã nhà cung c?p,Tên nhà cung c?p,Ði?n tho?i,Ð?a ch?,Ngu?i nh?p,Ngu?i t?o,T?ng ti?n hàng,Gi?m giá phi?u nh?p,C?n tr? NCC,Ti?n dã tr? NCC,Ghi chú,T?ng s? lu?ng,T?ng s? m?t hàng,Tr?ng thái,Mã hàng,Mã v?ch,Tên hàng,Thuong hi?u,ÐVT,Ghi chú hàng hóa,Ðon giá,Gi?m giá %,Gi?m giá,Giá nh?p,Thành ti?n,S? lu?ng
Chi nhánh trung tâm,TT240625,24/06/2025 00:00:00,26/06/2025 16:41:09,,T,Thanh Thanh,1,,Th? Oanh,Th? Oanh,"10,650,000",0,"10,650,000","10,200,000",,74,13,Ðã nh?p hàng,SP001153,,"Dây s? chính 2,6m 1 ?c 1 tai 8*8 (T) ",,Cái,,"67,000.00",0,0,"67,000.00","402,000",6
Chi nhánh trung tâm,TT240625,24/06/2025 00:00:00,26/06/2025 16:41:09,,T,Thanh Thanh,1,,Th? Oanh,Th? Oanh,"10,650,000",0,"10,650,000","10,200,000",,74,13,Ðã nh?p hàng,SP001073,,"Dây s? chính 2,5m 2 d?u ?c ch?nh 8/8 (T) ",,Cái,,"65,000.00",0,0,"65,000.00","390,000",6
Chi nhánh trung tâm,TT240625,24/06/2025 00:00:00,26/06/2025 16:41:09,,T,Thanh Thanh,1,,Th? Oanh,Th? Oanh,"10,650,000",0,"10,650,000","10,200,000",,74,13,Ðã nh?p hàng,SP001691,,Tr?c ?c phi dê 30*165 Samtin (T),,,,"199,000.00",0,0,"199,000.00","796,000",4
Chi nhánh trung tâm,TT240625,24/06/2025 00:00:00,26/06/2025 16:41:09,,T,Thanh Thanh,1,,Th? Oanh,Th? Oanh,"10,650,000",0,"10,650,000","10,200,000",,74,13,Ðã nh?p hàng,HH03636,,Piston bom phi 75/2/2 (T) ,,Chua xác d?nh,,"69,000.00",0,0,"69,000.00","345,000",5
Chi nhánh trung tâm,TT240625,24/06/2025 00:00:00,26/06/2025 16:41:09,,T,Thanh Thanh,1,,Th? Oanh,Th? Oanh,"10,650,000",0,"10,650,000","10,200,000",,74,13,Ðã nh?p hàng,HH05241,,Xi lanh bom hoi 75 r?ng (T) ,,Chua xác d?nh,,"159,000.00",0,0,"159,000.00","318,000",2
Chi nhánh trung tâm,TT240625,24/06/2025 00:00:00,26/06/2025 16:41:09,,T,Thanh Thanh,1,,Th? Oanh,Th? Oanh,"10,650,000",0,"10,650,000","10,200,000",,74,13,Ðã nh?p hàng,SP001692,,C?m bi treo DF 65 EQ153 tâm l? 29 Samtin (T),,,,"398,000.00",0,0,"398,000.00","1,194,000",3
Chi nhánh trung tâm,TT240625,24/06/2025 00:00:00,26/06/2025 16:41:09,,T,Thanh Thanh,1,,Th? Oanh,Th? Oanh,"10,650,000",0,"10,650,000","10,200,000",,74,13,Ðã nh?p hàng,HH01747,,Cút nu?c 4100QB ch? L RIN (T) ,,Chua xác d?nh,,"46,000.00",0,0,"46,000.00","460,000",10
Chi nhánh trung tâm,TT240625,24/06/2025 00:00:00,26/06/2025 16:41:09,,T,Thanh Thanh,1,,Th? Oanh,Th? Oanh,"10,650,000",0,"10,650,000","10,200,000",,74,13,Ðã nh?p hàng,SP000604,,L?c DX150 Xinwei màu tr?ng (T) ,,Cái,,"27,000.00",0,0,"27,000.00","135,000",5
Chi nhánh trung tâm,TT240625,24/06/2025 00:00:00,26/06/2025 16:41:09,,T,Thanh Thanh,1,,Th? Oanh,Th? Oanh,"10,650,000",0,"10,650,000","10,200,000",,74,13,Ðã nh?p hàng,SP000537,,L?c CX 0710B Xinwei (T) ,,Cái,,"39,000.00",0,0,"39,000.00","390,000",10
Chi nhánh trung tâm,TT240625,24/06/2025 00:00:00,26/06/2025 16:41:09,,T,Thanh Thanh,1,,Th? Oanh,Th? Oanh,"10,650,000",0,"10,650,000","10,200,000",,74,13,Ðã nh?p hàng,SP001307,,Tr?c co 490 QB bi 203 g? Qingqing Star (T) ,,Cái,,"1,585,000.00",0,0,"1,585,000.00","1,585,000",1
