Mã nhà cung c?p,Tên nhà cung c?p,Email,Ði?n tho?i,Ð?a ch?,Khu v?c,Phu?ng/Xã,T?ng mua,N? c?n tr? hi?n t?i,Mã s? thu?,Ghi chú,Nhóm nhà cung c?p,Tr?ng thái,T?ng mua tr? tr? hàng,Công ty,Ngu?i t?o,Ngày t?o
HT,C?a hàng Hi?p Ty,,57,,,,"343,000","343,000",,,,1,343000,,Th? Oanh,12/5/2025 10:06
KX,Keo xám,,34,,,,0,0,,,,1,0,,Th? Oanh,7/4/2025 17:26
CB,C?p ben (An),,0983752978,,,,0,0,,,,1,0,,Th? Oanh,7/4/2025 17:22
CT,Nh?t Caltex,,0935499515,,,,0,0,,,,1,0,,Th? Oanh,7/4/2025 17:20
M1KG,M? 1kg,,90,,,,"5,200,000","5,200,000",,,,1,5200000,,Th? Oanh,7/4/2025 15:48
MC,D?u Mê Công,,0918085432,,,,"15,018,588,000","15,018,588,000",,,,1,15018588000,,Th? Oanh,14/03/2025 09:32
VY,Vi?t Yên,,20,,,,"49,455,500",0,,,,1,49455500,,Th? Oanh,11/2/2025 14:21
CO,Công ty co Ti?n Huy,,0971189118,,H?i Duong - Huy?n Bình Giang,,"5,550,000",0,,,,1,5550000,,Th? Oanh,6/12/2024 15:37
L?c s? 1,Tân Vi?t Hung L?c s? 1 Ðà N?ng,,0935240657,,,,"22,202,392","22,202,392",,,,1,22202392,,Th? Oanh,7/7/2024 15:06
VM,Van Minh,,12,,,,"589,558,000","282,190,000",,,,1,589558000,,Th? Oanh,30/06/2024 09:06
T,Thanh Thanh,,1,,,,"540,795,000","272,450,900",,,,1,540795000,,Th? Oanh,28/06/2024 16:08
VT,Vi?t Ti?n,,2,,,,"1,047,470,310","693,100,293",,,,1,1047470310,,Th? Oanh,28/06/2024 16:08
MP,Minh Phú,,3,,,,"150,671,000","38,506,500",,,,1,150671000,,Th? Oanh,28/06/2024 16:08
TH,Trung Huy,,4,,,,"104,954,000","76,532,000",,,,1,104954000,,Th? Oanh,28/06/2024 16:08
TP,Tín Phát,,5,,,,"416,893,000","339,373,000",,,,1,416893000,,Th? Oanh,28/06/2024 16:08
NCC000006,D,,6,,,,0,0,,,,1,0,,Th? Oanh,28/06/2024 16:08
LH,Liên Hi?p,,7,,,,"94,510,000","33,660,000",,,,1,94510000,,Th? Oanh,28/06/2024 16:08
PL,Phi Long,,8,,,,0,0,,,,1,0,,Th? Oanh,28/06/2024 16:08
AT,An Thái,,9,,,,"313,495,700","32,278,000",,,,1,313495700,,Th? Oanh,28/06/2024 16:08
VN,Vina,,10,,,,0,0,,,,1,0,,Th? Oanh,28/06/2024 16:08
TQ,Nh?t Tú Quang ÐN,,0947943448,,,,0,0,,,,1,0,,Th? Oanh,28/06/2024 16:08
