Loại hàng,Nhóm hàng(3 Cấp),Mã hàng,Mã vạch,Tên hàng,Thương hiệu,Giá bán,Giá vốn,Tồn kho,KH đặt,Dự kiến hết hàng,Tồn nhỏ nhất,Tồn lớn nhất,ĐVT,Mã ĐVT Cơ bản,Quy đổi,Thuộc tính,Mã HH Liên quan,"Hình ảnh (url1,url2...)",Trọng lượng,Đang kinh doanh,Được bán trực tiếp,Mô tả,Mẫu ghi chú,Vị trí,Hàng thành phần
Hàng hóa,động cơ>>Hơi,SP001693,,Hơi ước 490QBZL-A GUANHENG (T),,"2,800,000.0","2,350,000.0",1.0,0.0,0 ngày,0.0,"999,999,999.0",,,1.0,,,,,1,1,,,,
Hàng hóa,Cụm bi treo,SP001692,,Cụm bi treo DF 65 EQ153 tâm lỗ 29 Samtin (T),,"480,000.0","398,000.0",3.0,0.0,0 ngày,0.0,"999,999,999.0",,,1.0,,,,,1,1,,,,
Hàng hóa,Trục ắc phi dê,SP001691,,Trục ắc phi dê 30*165 Samtin (T),,"280,000.0","199,000.0",4.0,0.0,0 ngày,0.0,"999,999,999.0",,,1.0,,,,,1,1,,,,
Hàng hóa,Roăng>>Roăng đại tu,SP001690,,Roăng bộ 490QB com lê (H),,"250,000.0","135,000.0",5.0,0.0,0 ngày,0.0,"999,999,999.0",,,1.0,,,,,1,1,,,,
Hàng hóa,Giảm xóc,SP001689,,Giảm xóc BJ130/ 2 đầu khoen (H),,"160,000.0","115,000.0",4.0,0.0,--,0.0,"999,999,999.0",,,1.0,,,,,1,1,,,,
Hàng hóa,Roăng>>Roăng bơm hơi,SP001688,,"Roăng bơm hơi, xẹt măng, lá thép 75 (H)",,"130,000.0","88,000.0",5.0,0.0,0 ngày,0.0,"999,999,999.0",,,1.0,,,,,1,1,,,,
Hàng hóa,Vành chậu,SP001687,,Vành chậu 6*38 EQ1060 Hydun (H),HYDUN,"1,500,000.0","1,050,000.0",2.0,0.0,0 ngày,0.0,"999,999,999.0",,,1.0,,,,,1,1,,,,
Hàng hóa,Xẹc măng>>Xẹt măng bơm hơi,SP001686,,Xẹt măng bơm hơi phi 75/2/2 (MP),,"60,000.0","37,500.0",15.0,0.0,0 ngày,0.0,"999,999,999.0",Bộ,,1.0,,,,,1,1,,,,
Hàng hóa,Bơm tay,SP001685,,Bơm tay 485/490/495 rin (MP),,"180,000.0","122,000.0",5.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bi>>Bi tê liền cụm,SP001684,,Bi tê liền cụm 68CT4852F2 Samtin (V),,"350,000.0","260,000.0",3.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
